keyword,title,company,location,career,education,work_type,deadline,link,rec_idx,crawled_at
헬스케어,디지털헬스케어제품 기획,(주)브레디스헬스케어,"['서울', '성동구']",경력3년↑,고졸↑,정규직,~ 09/12(금),/zf_user/jobs/relay/view?view_type=search&rec_idx=51553099&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51553099,2025-09-02 05:55:59
헬스케어,"에이스헬스케어(주) HW, FW 개발자 채용",에이스헬스케어(주),"['서울', '강동구']",경력 5~15년,대졸↑,정규직,~ 09/17(수),/zf_user/jobs/relay/view?view_type=search&rec_idx=51582557&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51582557,2025-09-02 05:55:59
헬스케어,[피플앤드테크놀러지] 디지털헬스케어SE담당자 채용,(주)피플앤드테크놀러지,"['서울', '강남구']",신입·경력,학력무관,정규직,내일마감,/zf_user/jobs/relay/view?view_type=search&rec_idx=51464498&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51464498,2025-09-02 05:55:59
헬스케어,디지털헬스케어기기 기업부설연구소 H/W엔지니어 모집,(주)스킨사이언스,"['경기', '성남시 분당구']",경력5년↑,대졸↑,정규직,~ 09/15(월),/zf_user/jobs/relay/view?view_type=search&rec_idx=51666615&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51666615,2025-09-02 05:55:59
헬스케어,(주)파이헬스케어프론트엔드 개발자 모집,(주)파이헬스케어,"['경기', '수원시 장안구']",경력무관,학력무관,정규직,~ 10/17(금),/zf_user/jobs/relay/view?view_type=search&rec_idx=51577756&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51577756,2025-09-02 05:55:59
헬스케어,디지털헬스케어플랫폼 SW개발자,(주)엑소시스템즈,"['경기', '성남시']",경력 3~7년,대졸↑,정규직,~ 09/23(화),/zf_user/jobs/relay/view?view_type=search&rec_idx=51644367&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51644367,2025-09-02 05:55:59
헬스케어,쇼핑몰/헬스케어서비스 개발자,보미오라한의원,"['서울', '강남구']",경력 3~10년,초대졸↑,정규직,~ 09/10(수),/zf_user/jobs/relay/view?view_type=search&rec_idx=51526164&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51526164,2025-09-02 05:55:59
헬스케어,"Nest.js,Express/헬스케어스타트업 백엔드 개발자 채용",(주)디지털뉴트리션,"['서울', '강서구']",경력 1~20년,학력무관,정규직,~ 10/24(금),/zf_user/jobs/relay/view?view_type=search&rec_idx=51639717&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51639717,2025-09-02 05:55:59
헬스케어,디지털헬스케어서비스 기획자 (PM) 모집,(주)탈로스,"['서울', '서초구']",경력 2~5년,학력무관,정규직,채용시,/zf_user/jobs/relay/view?view_type=search&rec_idx=51498681&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51498681,2025-09-02 05:55:59
헬스케어,헬스케어약국 사업부 서버 개발자 (경력) 채용,(주)헬스포트,"['서울', '성동구']",경력6년↑,학력무관,정규직,~ 09/25(목),/zf_user/jobs/relay/view?view_type=search&rec_idx=51656096&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51656096,2025-09-02 05:55:59
헬스케어,'스마트헬스케어센터'의 구축지원 및 유지보수업무 담당자모심,(주)킨더윌알파,"['서울', '노원구']",경력무관,초대졸↑,정규직,~ 09/16(화),/zf_user/jobs/relay/view?view_type=search&rec_idx=51572736&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51572736,2025-09-02 05:55:59
헬스케어,스마트헬스케어플랫폼 디바이스 - 웹/앱 개발자(풀스택) 채용,(주)노블링크,"['경기', '화성시']",경력 1~5년,초대졸↑,정규직,~ 10/24(금),/zf_user/jobs/relay/view?view_type=search&rec_idx=51638717&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51638717,2025-09-02 05:55:59
헬스케어,헬스케어브랜드 해외영업팀 팀장 채용,(주)온누리스토어,"['서울', '양천구']",경력7년↑,고졸↑,정규직,~ 09/23(화),/zf_user/jobs/relay/view?view_type=search&rec_idx=51644015&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51644015,2025-09-02 05:55:59
헬스케어,헬스케어브랜드 해외영업팀 채용,(주)온누리스토어,"['서울', '양천구']",경력5년↑,고졸↑,정규직,~ 09/23(화),/zf_user/jobs/relay/view?view_type=search&rec_idx=51644000&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51644000,2025-09-02 05:56:00
헬스케어,[헬스케어IT]  본사 IR 담당,(주)맨파워코리아,"['서울', '구로구']",경력3년↑,대졸↑,정규직,~ 09/16(화),/zf_user/jobs/relay/view?view_type=search&rec_idx=51709763&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51709763,2025-09-02 05:56:00
헬스케어,Healthcare Field Sales Manager (외국계 포워딩헬스케어영업),지오디스코리아(주),"['서울', '영등포구']",경력5년↑,대졸↑,정규직,채용시,/zf_user/jobs/relay/view?view_type=search&rec_idx=51522496&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51522496,2025-09-02 05:56:00
헬스케어,[미래컴퍼니/서울]헬스케어(의료기기) - 해외영업 팀장,(주)미래컴퍼니,"['서울', '송파구']",경력10년↑,대졸↑,정규직,내일마감,/zf_user/jobs/relay/view?view_type=search&rec_idx=51459083&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51459083,2025-09-02 05:56:00
헬스케어,(주)유유헬스케어품질관리팀 채용 (신입/경력),(주)유유헬스케어,"['강원', '횡성군']",경력무관,대졸↑,정규직,오늘마감,/zf_user/jobs/relay/view?view_type=search&rec_idx=51209647&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51209647,2025-09-02 05:56:00
